Coefficient,Estimate,Std. Error,95% CI (lower),95% CI (upper)
(Intercept),-0.173,0.022,-0.22,-0.13
ba_scaled,-0.260,0.006,-0.27,-0.25
drought_strength_scaled,0.035,0.006,0.02,0.05
prop_drought_scaled,0.014,0.007,0.00,0.03
beta_pca_scaled,-0.018,0.006,-0.03,-0.01
td_pca_scaled,-0.025,0.006,-0.04,-0.01
map_scaled,0.119,0.008,0.10,0.14
mat_scaled,-0.027,0.031,-0.09,0.03
cwm_drought_pc2_scaled,-0.007,0.007,-0.02,0.01
cwm_growth_pc1_scaled,-0.026,0.008,-0.04,-0.01
range_drought_pc2_scaled,-0.002,0.006,-0.01,0.01
range_growth_pc1_scaled,-0.050,0.007,-0.06,-0.04
elev_scaled,-0.038,0.021,-0.08,0.00
stand_age_scaled,-0.197,0.006,-0.21,-0.19
ba_scaled:drought_strength_scaled,0.077,0.005,0.07,0.09
ba_scaled:beta_pca_scaled,-0.001,0.005,-0.01,0.01
ba_scaled:td_pca_scaled,-0.023,0.005,-0.03,-0.01