variable,component,estimate,se,95% CI (lower),95% CI (upper)
(Intercept),mu,-4.771,0.153,-5.072,-4.470
pb(year_centered),mu,0.006,0.001,0.004,0.008
"pb(lon, df = 18)",mu,0.004,0.001,0.003,0.006
"pb(lat, df = 18)",mu,0.014,0.005,0.004,0.023
ba_scaled,mu,-0.095,0.007,-0.108,-0.081
drought_strength_scaled,mu,-0.039,0.006,-0.050,-0.028
prop_drought_scaled,mu,0.046,0.007,0.032,0.059
beta_pca_scaled,mu,0.006,0.007,-0.007,0.019
td_pca_scaled,mu,0.023,0.007,0.010,0.037
map_scaled,mu,0.119,0.007,0.106,0.132
mat_scaled,mu,0.022,0.027,-0.032,0.077
cwm_drought_pc2_scaled,mu,-0.025,0.008,-0.042,-0.009
cwm_growth_pc1_scaled,mu,0.019,0.008,0.004,0.034
range_drought_pc2_scaled,mu,-0.005,0.008,-0.020,0.010
range_growth_pc1_scaled,mu,0.005,0.008,-0.011,0.020
elev_scaled,mu,0.028,0.014,0.000,0.056
stand_age_scaled,mu,0.022,0.007,0.009,0.035
ba_scaled:drought_strength_scaled,mu,-0.008,0.006,-0.021,0.004
ba_scaled:beta_pca_scaled,mu,-0.003,0.006,-0.014,0.009
ba_scaled:td_pca_scaled,mu,0.002,0.006,-0.010,0.014
(Intercept),link,4.480,0.010,4.461,4.500
(Intercept),nu,-6.255,0.323,-6.892,-5.618
pb(year_centered),nu,-0.030,0.002,-0.035,-0.026
"pb(lon, df = 18)",nu,-0.035,0.001,-0.038,-0.032
"pb(lat, df = 18)",nu,0.056,0.010,0.036,0.075
ba_scaled,nu,-0.260,0.013,-0.287,-0.234
drought_strength_scaled,nu,0.074,0.013,0.048,0.100
prop_drought_scaled,nu,0.020,0.014,-0.008,0.049
map_scaled,nu,-0.010,0.015,-0.039,0.019
mat_scaled,nu,0.658,0.060,0.540,0.776
elev_scaled,nu,-0.174,0.030,-0.234,-0.114
stand_age_scaled,nu,-0.075,0.015,-0.104,-0.046
ba_scaled:drought_strength_scaled,nu,0.031,0.014,0.004,0.058