variable,estimate,se,95% CI (lower),95% CI (upper)
(Intercept),-4.704,0.152,-5.003,-4.404
pb(year_centered),0.006,0.001,0.004,0.008
"pb(lon, df = 18)",0.005,0.001,0.004,0.006
"pb(lat, df = 18)",0.013,0.005,0.004,0.022
ba_scaled,-0.096,0.007,-0.109,-0.083
drought_strength_scaled,-0.039,0.006,-0.050,-0.028
prop_drought_scaled,0.046,0.007,0.033,0.060
map_scaled,0.117,0.007,0.104,0.130
mat_scaled,0.021,0.027,-0.033,0.075
cwm_drought_pc2_scaled,-0.029,0.008,-0.045,-0.013
cwm_growth_pc1_scaled,0.018,0.008,0.003,0.033
range_drought_pc2_scaled,-0.002,0.007,-0.017,0.012
range_growth_pc1_scaled,0.008,0.007,-0.005,0.022
elev_scaled,0.029,0.014,0.002,0.057
stand_age_scaled,0.022,0.007,0.009,0.036
ba_scaled:drought_strength_scaled,-0.009,0.006,-0.021,0.003
(Intercept),4.479,0.010,4.460,4.499
(Intercept),-6.261,0.323,-6.898,-5.625
"pb(year_centered, df = 10)",-0.030,0.002,-0.035,-0.026
"pb(lon, df = 18)",-0.035,0.001,-0.038,-0.032
"pb(lat, df = 18)",0.056,0.010,0.036,0.076
ba_scaled,-0.260,0.013,-0.286,-0.233
drought_strength_scaled,0.075,0.013,0.049,0.101
prop_drought_scaled,0.021,0.014,-0.007,0.049
map_scaled,-0.010,0.015,-0.039,0.019
mat_scaled,0.660,0.060,0.541,0.778
elev_scaled,-0.172,0.030,-0.232,-0.112
stand_age_scaled,-0.075,0.015,-0.104,-0.046
ba_scaled:drought_strength_scaled,0.031,0.014,0.005,0.058